object_number,split,title,d_A,z_A,d_B,z_B,combined,rank_combined,dominant_signal,driver_A,driver_B_1,driver_B_2,z_grad_mag_mean,z_grad_mag_std,z_grad_orient_entropy,z_laplacian_var,z_lbp_entropy,z_glcm_contrast,z_lab_chroma_mean,z_hue_circ_std
SK-A-4090,pupil,Vanitas Still Life,0.39714121,-0.17550288,0.93119960,-0.08082057,-0.25632345,42,B,embed_cosine_to_centroid,lbp_entropy,hue_circ_std,-0.35171112,0.34920539,-0.87996120,-0.55852999,-1.95003400,-0.46285125,-0.00517114,-1.26025327
SK-A-1579,pupil,Salomon Receives Gifts,0.38736379,-0.27978795,1.01795469,0.01967002,-0.26011793,43,B,embed_cosine_to_centroid,lbp_entropy,hue_circ_std,-0.73257712,-0.70998063,-0.16050891,-0.72379287,-2.30170502,-0.79602689,0.28256343,0.82953368
SK-A-3066,cohort,"Oude lezende vrouw, waarschijnlijk de profetes Hanna",0.38445429,-0.31082052,0.96351515,-0.04338865,-0.35420917,44,B,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,-0.15342035,0.06486654,0.19126009,-0.30489658,0.69901048,-0.21189733,-0.24567953,2.58374326
SK-A-110,pupil,Isaac Blessing Jacob,0.37266930,-0.43651815,1.06439975,0.07346849,-0.36304965,45,B,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,-0.10646238,-0.49307711,0.52652484,-0.55758237,0.13336110,-0.53254971,2.02223051,1.95708409
SK-A-3517,pupil,"Portrait of Sara de Bie, Jan Lutma's second Wife",0.43161242,0.19216397,0.51758562,-0.55991997,-0.36775600,46,A,embed_cosine_to_centroid,grad_mag_mean,hue_circ_std,-0.80190563,-0.32574431,0.29424757,-0.39407740,0.21436020,-0.44495776,-0.54888602,0.77904096
SK-C-1174,pupil,Officers and other Civic Guardsmen of the V District in Amsterdam under the command of Captain Cornelis de Graeff and Lieutenant Hendrick Lauwrensz,0.40091736,-0.13522679,0.79868516,-0.23431535,-0.36954214,47,A,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,0.96951591,0.89471264,0.61439117,-0.43088199,-0.16392167,-0.05783768,1.64213154,0.26974947
SK-A-4853,pupil,De vredesonderhandelingen tussen Claudius Civilis en Quintus Petillius Cerealis op de afgebroken brug,0.44171839,0.29995332,0.41994706,-0.67301716,-0.37306383,48,A,embed_cosine_to_centroid,lbp_entropy,laplacian_var,-0.13225221,0.25983498,0.51056751,-0.55658693,-0.65235642,-0.42247105,0.11073307,0.37290577
SK-C-367,pupil,"Three Regentesses of the Lepers' Asylum in Amsterdam, 1668",0.38398777,-0.31579636,0.92217824,-0.09127024,-0.40706660,49,B,embed_cosine_to_centroid,grad_mag_std,hue_circ_std,1.18323978,1.59287757,0.31261292,-0.20790926,0.25528212,0.34447937,0.52355742,1.50568449
SK-A-3138,cohort,Titus in monniksdracht,0.38536197,-0.30113927,0.83924349,-0.18733563,-0.48847490,50,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_std,-0.92610961,-1.09304546,0.32804365,-0.57276973,0.58118336,-0.69806699,-0.49318655,-1.44160580
SK-A-397,pupil,Portrait of Machtelt Bas (?-1681),0.33154501,-0.87514616,1.32603066,0.37652211,-0.49862405,51,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,-1.12256658,-1.19834226,0.32312351,-0.73323066,-0.85110148,-0.86979847,1.24200237,2.77581511
SK-C-176,pupil,De spinster,0.39174323,-0.23307729,0.76471869,-0.27365956,-0.50673686,52,A,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,0.86629744,-0.55823399,0.55141877,-0.11639751,0.83315992,-0.04164244,1.46255386,-0.68095267
SK-A-613,pupil,Consul Titus Manlius Torquatus laat zijn zoon onthoofden,0.36360481,-0.53319916,1.01687511,0.01841951,-0.51477964,53,B,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,1.53280165,0.88636484,0.60861790,0.81495498,0.55142027,0.93688363,1.56474331,0.68727876
SK-A-246,pupil,De spinster,0.42053806,0.07404580,0.49241975,-0.58907023,-0.51502443,54,A,embed_cosine_to_centroid,hue_circ_std,grad_mag_mean,0.69725034,-0.64092888,0.67388261,0.00144770,0.00612543,0.03659349,0.04363599,0.76515963
SK-A-3254,pupil,Groentemarkt,0.36406000,-0.52834417,1.01104324,0.01166432,-0.51667986,55,B,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_std,0.81927497,1.65128761,0.54624883,-0.33617912,-0.01595197,0.26368682,2.06098873,0.22547998
SK-A-46,pupil,Allegorie op het onderwijs: Margarita Trip (1640-1714) haar zuster Anna Maria Trip (1652- 1681) onderwijzend,0.33406606,-0.84825682,1.26135695,0.30160894,-0.54664788,56,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,0.54206140,0.64515295,0.52415541,-0.22876770,0.26448472,-0.03718680,1.37423605,3.11948467
SK-A-88,pupil,Een kluizenaar in gebed,0.30184197,-1.19195617,1.54612333,0.63146096,-0.56049522,57,B,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,1.29640031,-0.51890624,0.70568310,0.44271331,-0.26233629,0.49365844,3.70925729,-1.55208537
SK-A-3106,pupil,Portrait of a young Woman,0.38358193,-0.32012496,0.79306011,-0.24083099,-0.56095595,58,B,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,0.90488129,-0.18716806,0.65359139,-0.26858324,1.11791776,-0.09053550,-0.98345589,-1.20551720
SK-A-582,pupil,"Portret van een man, vermoedelijk Augustijn Wtenbogaert (1577-1655)",0.38533123,-0.30146706,0.75296184,-0.28727781,-0.58874487,59,B,embed_cosine_to_centroid,grad_mag_mean,grad_mag_std,-1.19556231,-1.13936118,-0.46762415,-0.65244471,-0.62671113,-0.80627612,0.08468905,-0.33722762
SK-A-4047,pupil,Woman at a Cradle,0.38965554,-0.25534440,0.70390076,-0.34410649,-0.59945090,60,A,embed_cosine_to_centroid,grad_mag_std,glcm_contrast,-0.64695512,-1.32220060,0.53275393,-0.69106078,0.54347599,-0.79615963,0.22705604,0.23422711
SK-A-45,pupil,Caritas: Joanna de Geer (1629-1691) met haar kinderen Cecilia Trip (1660-1728) en Laurens Trip (geb. 1662),0.37608214,-0.40011704,0.80593410,-0.22591872,-0.62603576,61,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,0.58450032,-0.38891235,0.51078331,-0.35292200,0.94073720,-0.24743580,0.95193546,1.57019082
SK-C-107,pupil,"Portret van een zee-overste, waarschijnlijk vice-admiraal Aert van Nes (1626-1693)",0.40915034,-0.04741455,0.49077375,-0.59097683,-0.63839138,62,A,embed_cosine_to_centroid,lbp_entropy,grad_mag_mean,0.64503074,0.63023620,0.41786068,-0.16773972,0.86531752,0.09887459,-0.03851970,-0.38836858
SK-A-3137,cohort,De verloochening van Petrus,0.36718280,-0.49503661,0.86604519,-0.15629054,-0.65132716,63,B,embed_cosine_to_centroid,grad_mag_std,grad_mag_mean,-1.20594736,-1.47919050,0.50220685,-0.57566312,0.24593590,-0.78700277,-0.06007266,-1.04445888
SK-A-1591,pupil,Abraham de Potter (1592-1650). Zijdelakenkoopman te Amsterdam,0.39662204,-0.18104037,0.58615522,-0.48049409,-0.66153447,64,A,embed_cosine_to_centroid,grad_mag_std,lbp_entropy,-0.23282398,-1.01835766,0.62478910,-0.32374175,0.62854293,-0.40723323,0.62466596,-0.45943593
SK-C-1467,pupil,"Constantijn Huygens (1596-1687), Lord of Zuylichem. Secretary of the Stadtholder, Prince Frederik Hendrik, and Poet",0.31610313,-1.03984787,1.31549174,0.36431463,-0.67553325,65,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_std,-1.46736347,-1.71585175,0.05626288,-0.70813573,-0.41427024,-0.93106905,-1.21197323,2.39475158
SK-A-3103,pupil,Gerard Pietersz Hulft (1621-56). Eerste raad en directeur-generaal van de VOC,0.38501502,-0.30483975,0.64597493,-0.41120342,-0.71604317,66,A,embed_cosine_to_centroid,lab_chroma_mean,lbp_entropy,-0.11966024,-0.35046826,0.64680912,-0.41847236,0.76382343,-0.40378769,1.30270773,-0.40512102
SK-A-89,pupil,Meisje met olielamp voor een venster,0.36725396,-0.49427763,0.78208130,-0.25354802,-0.74782565,67,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_mean,1.31525402,0.24415067,-0.25113292,0.63660551,0.02741808,0.85443306,0.24456228,1.35821721
SK-A-3508,pupil,Portret van een jonge man,0.39781094,-0.16835965,0.49622263,-0.58466526,-0.75302491,68,A,embed_cosine_to_centroid,grad_mag_std,grad_orient_entropy,-0.27960832,-0.73348751,0.63500639,-0.20327701,0.51325133,-0.30449977,-0.46770816,-0.57815033
SK-A-2960,pupil,De rijke man en de arme Lazarus,0.39429199,-0.20589247,0.51891334,-0.55838204,-0.76427451,69,A,embed_cosine_to_centroid,lab_chroma_mean,laplacian_var,0.47106357,0.39174361,0.41946184,-0.50022804,-0.09642160,-0.26531473,1.01189577,-0.49900507
SK-C-436,pupil,"Six Regents and the Beadle of the Nieuwezijds Institute for the Outdoor Relief of the Poor, Amsterdam, 1657",0.36472967,-0.52120147,0.78694871,-0.24790998,-0.76911145,70,B,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,-0.64265118,0.03028203,0.11252690,-0.66284962,-0.99789164,-0.61833751,-0.79902363,1.43937102
SK-A-2507,pupil,The Last Supper,0.36950832,-0.47023289,0.71726299,-0.32862869,-0.79886158,71,B,embed_cosine_to_centroid,grad_mag_std,grad_mag_mean,-0.98729668,-1.26816797,0.18693935,-0.69384382,0.06441404,-0.82974118,-0.46144515,-0.33287845
SK-A-1578,pupil,The Captain of God's Army Appearing to Joshua,0.38150476,-0.34227990,0.60174816,-0.46243240,-0.80471230,72,A,embed_cosine_to_centroid,hue_circ_std,laplacian_var,-0.40440845,-0.14319529,0.46196629,-0.53693372,0.03737154,-0.51021916,0.28536253,1.36670883
SK-A-158,pupil,Portrait of Mattheus van den Broucke (1620-1685). Councillor of the Indies,0.34504101,-0.73119901,0.86140292,-0.16166781,-0.89286682,73,B,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,0.43753669,0.46700461,0.63195397,-0.13457019,0.89435849,0.04030654,-0.54851934,2.00168381
SK-A-686,pupil,Johan Wittert van der Aa (1604-1670),0.39392827,-0.20977184,0.40492067,-0.69042260,-0.90019444,74,A,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,-0.26708145,-0.17220336,0.22374028,-0.04141281,0.58021085,-0.12638158,-0.08462676,0.89394973
SK-A-4881,pupil,"Portrait of a young man, possibly Simon van Alphen (1650-1730)",0.35394014,-0.63628166,0.74610254,-0.29522311,-0.93150477,75,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,-0.13238488,-0.51908946,0.45907528,-0.22103197,0.65918575,-0.24097884,-0.79008598,1.67030974
SK-C-370,pupil,Portrait of the Governors of the Kloveniersdoelen,0.31443916,-1.05759565,1.10813714,0.12413061,-0.93346504,76,B,embed_cosine_to_centroid,lbp_entropy,hue_circ_std,-1.11095821,-0.72102549,-0.58479010,-0.68352126,-1.93981405,-0.78719416,-0.96666744,1.39407946
SK-A-218,pupil,Joost van den Vondel (1587-1679). Dichter,0.37929241,-0.36587660,0.49534151,-0.58568588,-0.95156248,77,A,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,-0.00246208,0.15541228,0.17856374,-0.10591999,0.57974810,-0.04505388,0.70075922,-1.03268651
SK-A-90,pupil,Portrait of a Couple in a Landscape,0.35974196,-0.57439998,0.66773096,-0.38600287,-0.96040285,78,B,embed_cosine_to_centroid,grad_mag_std,hue_circ_std,0.28033424,1.09779909,0.66106190,0.19782730,0.59738180,0.45654057,-0.65346616,0.90261629
SK-A-1660,pupil,"Engel de Ruyter (1649-83), Vice Admiral, Son of Michiel Adriaensz de Ruyter",0.35326501,-0.64348260,0.71473724,-0.33155432,-0.97503692,79,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,0.17726267,0.14251048,0.64743681,0.00811329,0.73354635,0.00173089,1.11171229,1.35713877
SK-A-869,pupil,"Allegory on the Memory of Frederik Hendrik (1584-1647), Prince of Orange, with the Portrait of his Widow Amalia van Solms",0.32031221,-0.99495423,1.01327291,0.01424700,-0.98070723,80,B,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,1.27717824,0.06260240,0.65043744,0.97588595,-0.88177252,0.86644040,1.88468943,0.35064854
SK-C-535,pupil,"Oude vrouw in gebed, bekend als 'Het gebed zonder end'",0.38202349,-0.33674719,0.43865927,-0.65134234,-0.98808953,81,A,embed_cosine_to_centroid,lbp_entropy,grad_orient_entropy,0.32965188,-0.35418440,0.65671290,-0.32337585,0.82088933,-0.25972276,-0.05170803,-0.15945520
SK-C-1802,pupil,Cimon and Pero (Roman Charity),0.33163692,-0.87416586,0.87494096,-0.14598635,-1.02015220,82,B,embed_cosine_to_centroid,grad_mag_std,hue_circ_std,-0.43859638,-1.21041332,0.65173265,-0.58920890,0.85986787,-0.67652456,1.05365876,-1.17793410
SK-A-714,pupil,"Portret van een vrouw, mogelijk Elisabeth Bas",0.33718110,-0.81503215,0.79798910,-0.23512162,-1.05015377,83,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,-0.54538792,-0.11297893,0.37672474,-0.30591745,0.50128971,-0.32911399,-1.00816202,1.78117250
SK-A-3276,cohort,Jeremiah Lamenting the Destruction of Jerusalem,0.35838478,-0.58887550,0.56605527,-0.50377637,-1.09265187,84,B,embed_cosine_to_centroid,grad_mag_mean,grad_mag_std,-0.78032326,-0.76177286,0.53478413,-0.48775114,0.44005646,-0.58881563,-0.29175312,-0.47410718
SK-A-1661,pupil,"Jan van Gelder (1647-73), Naval Captain, Stepson of Michiel Adriaensz de Ruyter",0.35450599,-0.63024633,0.59308010,-0.47247283,-1.10271916,85,B,embed_cosine_to_centroid,lbp_entropy,grad_mag_std,-0.31579952,-0.76547527,0.60658169,-0.48453504,0.85375338,-0.52822378,0.18689896,-0.69477217
SK-A-106,pupil,Christ and the Woman in Adultery,0.34325808,-0.75021560,0.65099509,-0.40538844,-1.15560405,86,B,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,-0.47274578,-0.71131113,0.48860326,-0.58773435,0.35984292,-0.61987609,0.99618372,-0.75539705
SK-A-3516,pupil,"Portrait of Jan Lutma (1584/85-1669), Amsterdam Silversmith",0.35078536,-0.66993027,0.58158052,-0.48579308,-1.15572336,87,B,embed_cosine_to_centroid,grad_mag_std,lab_chroma_mean,-0.01899568,0.92992229,0.38371989,0.00205123,0.68961202,0.27673352,-0.77732961,-0.73289716
SK-A-4885,cohort,Portrait of Johannes Wtenbogaert,0.35330155,-0.64309285,0.51249884,-0.56581212,-1.20890497,88,B,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,-0.73314172,-0.14881750,0.31181669,-0.40618237,0.17814029,-0.44164864,-0.86665767,-0.54909039
SK-C-128,pupil,A Hermit,0.34458261,-0.73608823,0.51748679,-0.56003445,-1.29612268,89,B,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,-0.23943408,-0.27420967,0.34997000,-0.62904535,-0.45446126,-0.57890459,0.69210966,-0.68626717
