object_number,split,title,cm_width,cm_height,native_px_width,native_px_height,native_megapixels,analyzed_px_width,analyzed_px_height,mm_per_px_native,mm_per_px_analyzed,mm_per_px_cnn_input,native_pixels_used_fraction,resolution_headroom_x,cnn_area_kept_fraction
SK-C-1802,pupil,Cimon and Pero (Roman Charity),117.500000,156.000000,8003,10763,86.136289,1500,2017,0.146820,0.783333,4.589844,0.035125,5.335333,0.569379
SK-A-2695,pupil,Koning David,115.000000,100.000000,5274,4579,24.149646,1500,1302,0.218051,0.766667,3.899219,0.080871,3.516000,0.664563
SK-C-535,pupil,"Oude vrouw in gebed, bekend als 'Het gebed zonder end'",113.000000,134.000000,4085,4831,19.734635,1500,1774,0.276622,0.753333,4.414062,0.134839,2.723333,0.647372
SK-A-4853,pupil,De vredesonderhandelingen tussen Claudius Civilis en Quintus Petillius Cerealis op de afgebroken brug,112.500000,122.000000,5738,6261,35.925618,1500,1637,0.196061,0.750000,4.394531,0.068350,3.825333,0.701550
SK-A-158,pupil,Portrait of Mattheus van den Broucke (1620-1685). Councillor of the Indies,111.000000,142.000000,5282,6711,35.447502,1500,1906,0.210148,0.740000,4.335938,0.080654,3.521333,0.602538
SK-A-3969,pupil,"Ernestus van Beveren (1660-1722), Lord of West-Ysselmonde and de Lindt, Alderman, Burgomaster and from 1704 on Postmaster of Dordrecht",105.000000,128.000000,5422,6653,36.072566,1500,1841,0.193655,0.700000,4.101562,0.076554,3.614667,0.623812
SK-A-4885,cohort,Portrait of Johannes Wtenbogaert,103.000000,130.000000,4978,6216,30.943248,1500,1873,0.206910,0.686667,4.023438,0.090795,3.318667,0.613154
SK-A-3103,pupil,Gerard Pietersz Hulft (1621-56). Eerste raad en directeur-generaal van de VOC,102.200000,128.700000,4012,4868,19.530416,1500,1820,0.254736,0.681333,3.992188,0.139782,2.674667,0.631010
SK-A-42,pupil,Zelfportret,102.000000,127.000000,4837,5948,28.770476,1500,1845,0.210875,0.680000,3.984375,0.096192,3.224667,0.622459
SK-A-838,pupil,Maerten Harpertsz Tromp (1598-1653). Luitenant-admiraal,101.100000,132.300000,4594,5981,27.476714,1500,1953,0.220070,0.674000,3.949219,0.106618,3.062667,0.588038
SK-A-839,pupil,Cornelia Teding van Berkhout (1614-80). Echtgenote van Maerten Harpertsz Tromp,101.000000,132.500000,4582,6050,27.721100,1500,1981,0.220428,0.673333,3.945312,0.107193,3.054667,0.579726
SK-A-43,pupil,Portrait of a Man,100.000000,124.000000,5552,6772,37.598144,1500,1830,0.180115,0.666667,3.906250,0.073009,3.701333,0.627561
SK-A-397,pupil,Portrait of Machtelt Bas (?-1681),98.000000,126.000000,5650,7260,41.019000,1500,1927,0.173451,0.653333,3.828125,0.070467,3.766667,0.595972
SK-A-589,pupil,Portrait of Abraham de Visscher (1605-67). Amsterdam merchant and director of the Dutch West India Company,98.000000,127.000000,4689,6063,28.429407,1500,1940,0.209000,0.653333,3.828125,0.102359,3.126000,0.591978
SK-C-1474,pupil,Johannes Wttenbogaert (1557-1644). Remonstrant Minister in The Hague,98.000000,122.500000,4577,5852,26.784604,1500,1918,0.214114,0.653333,3.828125,0.107412,3.051333,0.598768
SK-A-5092,cohort,The Standard Bearer,96.800000,102.600000,8234,10306,84.859604,1500,1877,0.117561,0.645333,3.781250,0.033178,5.489333,0.611847
SK-A-683,pupil,Roelof Meulenaer (1618/19-1691). Amsterdam Mercantile Courier or Postmaster on the Antwerp Route,96.500000,118.000000,5308,6464,34.310912,1500,1827,0.181801,0.643333,3.769531,0.079873,3.538667,0.628592
SK-A-684,pupil,Maria Rey (1630/31-1703). Echtgenote van Roelof Meulenaer,96.500000,118.000000,5438,6649,36.157262,1500,1834,0.177455,0.643333,3.769531,0.076084,3.625333,0.626193
SK-A-245,pupil,"Meisje aan het venster, bekend als 'De peinzende'",96.000000,123.000000,5214,6681,34.834734,1500,1922,0.184120,0.640000,3.750000,0.082762,3.476000,0.597522
SK-C-107,pupil,"Portret van een zee-overste, waarschijnlijk vice-admiraal Aert van Nes (1626-1693)",93.500000,116.500000,5667,7037,39.878679,1500,1863,0.164990,0.623333,3.652344,0.070075,3.778000,0.616445
SK-A-714,pupil,"Portret van een vrouw, mogelijk Elisabeth Bas",91.500000,134.000000,4578,5886,26.946108,1500,1929,0.199869,0.610000,3.574219,0.107381,3.052000,0.595354
SK-A-3254,pupil,Groentemarkt,91.000000,71.000000,5610,4296,24.100560,1500,1149,0.162210,0.606667,2.722891,0.071513,3.740000,0.586469
SK-C-1467,pupil,"Constantijn Huygens (1596-1687), Lord of Zuylichem. Secretary of the Stadtholder, Prince Frederik Hendrik, and Poet",84.500000,100.200000,4590,5473,25.121070,1500,1789,0.184096,0.563333,3.300781,0.106823,3.060000,0.641944
SK-A-106,pupil,Christ and the Woman in Adultery,82.000000,66.000000,6061,4724,28.632164,1500,1169,0.135291,0.546667,2.496302,0.061242,4.040667,0.596677
SK-C-597,cohort,"Portrait of a woman, possibly Maria Trip",82.000000,107.000000,7965,10415,82.955475,1500,1962,0.102950,0.546667,3.203125,0.035477,5.310000,0.585340
SK-A-4050,cohort,Self Portrait as the Apostle Paul,77.000000,91.000000,10201,12064,123.064864,1500,1774,0.075483,0.513333,3.007812,0.021623,6.800667,0.647372
SK-A-3516,pupil,"Portrait of Jan Lutma (1584/85-1669), Amsterdam Silversmith",73.000000,93.000000,4173,5184,21.632832,1500,1863,0.174934,0.486667,2.851563,0.129179,2.782000,0.616445
SK-A-3517,pupil,"Portrait of Sara de Bie, Jan Lutma's second Wife",73.000000,92.900000,4665,5873,27.397545,1500,1888,0.156484,0.486667,2.851563,0.103367,3.110000,0.608283
SK-A-4702,pupil,Old Woman Reading,70.500000,79.000000,4322,4869,21.043818,1500,1690,0.163119,0.470000,2.753906,0.120463,2.881333,0.679549
SK-A-2627,pupil,"Oude vrouw lezend in een lectionarium; zogenaamd portret van Rembrandts moeder, Neeltgen Willemsdr van Zuijdtbroeck (gest 1640)",69.500000,85.300000,4500,5804,26.118000,1500,1935,0.154444,0.463333,2.714844,0.111130,3.000000,0.593508
SK-A-3138,cohort,Titus in monniksdracht,67.700000,79.500000,4670,5525,25.801750,1500,1775,0.144968,0.451333,2.644531,0.103191,3.113333,0.647007
SK-A-3451,pupil,Shepherd,64.400000,75.100000,5059,5901,29.853159,1500,1750,0.127298,0.429333,2.515625,0.087930,3.372667,0.656250
SK-A-90,pupil,Portrait of a Couple in a Landscape,61.500000,76.300000,4541,5616,25.502256,1500,1855,0.135433,0.410000,2.402344,0.109108,3.027333,0.619104
SK-A-582,pupil,"Portret van een man, vermoedelijk Augustijn Wtenbogaert (1577-1655)",60.400000,74.200000,4723,5817,27.473691,1500,1847,0.127885,0.402667,2.359375,0.100842,3.148667,0.621785
SK-A-2359,pupil,De gevangenneming van Christus,59.000000,73.000000,2862,3574,10.228788,1500,1873,0.206150,0.393333,2.304688,0.274666,1.908000,0.613154
SK-A-2360,pupil,Christus voor Kajafas,59.000000,73.000000,2772,3432,9.513504,1500,1857,0.212843,0.393333,2.304688,0.292794,1.848000,0.618437
SK-A-3106,pupil,Portrait of a young Woman,59.000000,73.000000,3072,3824,11.747328,1500,1867,0.192057,0.393333,2.304688,0.238395,2.048000,0.615125
SK-A-4888,pupil,Portret van Pieter Groenendijk,57.800000,69.200000,5045,6075,30.648375,1500,1806,0.114569,0.385333,2.257813,0.088390,3.363333,0.635901
SK-A-4889,pupil,Portret van Petronella Dunois,57.800000,69.200000,5046,6098,30.770508,1500,1813,0.114546,0.385333,2.257813,0.088380,3.364000,0.633446
SK-A-4881,pupil,"Portrait of a young man, possibly Simon van Alphen (1650-1730)",57.200000,71.500000,4883,6146,30.010918,1500,1888,0.117141,0.381333,2.234375,0.094366,3.255333,0.608283
SK-A-1591,pupil,Abraham de Potter (1592-1650). Zijdelakenkoopman te Amsterdam,57.000000,68.500000,4473,5301,23.711373,1500,1778,0.127431,0.380000,2.226562,0.112478,2.982000,0.645915
SK-A-246,pupil,De spinster,55.000000,63.000000,4626,5399,24.975774,1500,1751,0.118893,0.366667,2.148438,0.105162,3.084000,0.655875
SK-C-152,pupil,'The Anemic Lady',55.000000,69.500000,4701,5908,27.773508,1500,1885,0.116996,0.366667,2.148438,0.101806,3.134000,0.609251
SK-A-3340,cohort,Borstbeeld van een man in oosterse kleding,54.500000,72.000000,4193,5569,23.350817,1500,1992,0.129979,0.363333,2.128906,0.127961,2.795333,0.576525
SK-A-4833,cohort,Portrait van Haesje Jacobsdr van Cleyburgh,53.400000,68.600000,7166,9366,67.116756,1500,1961,0.074519,0.356000,2.085938,0.043827,4.777333,0.585639
SK-A-86,pupil,Man Smoking a Pipe,52.800000,48.000000,4494,5884,26.442696,1500,1964,0.117490,0.352000,2.062500,0.111411,2.996000,0.584744
SK-A-4166,pupil,"Portret van een man, mogelijk Gozen Centen (1611/12-1677)",51.300000,66.500000,4647,6046,28.095762,1500,1952,0.110394,0.342000,2.003906,0.104215,3.098000,0.588339
SK-A-1645,pupil,"Portrait of Willem Pottey, Lawyer and Accountant-General of Flushing",49.000000,61.000000,5316,6748,35.872368,1500,1904,0.092175,0.326667,1.914062,0.079616,3.544000,0.603171
SK-A-1646,pupil,"Portrait of Catharina Pottey, Sister of Willem and Sara Pottey",49.000000,61.000000,5322,6622,35.242284,1500,1866,0.092071,0.326667,1.914062,0.079422,3.548000,0.615454
SK-A-3066,cohort,"Oude lezende vrouw, waarschijnlijk de profetes Hanna",48.000000,60.000000,6387,7998,51.083226,1500,1878,0.075153,0.320000,1.875000,0.055145,4.258000,0.611522
SK-A-4057,cohort,Young Woman in Fantasy Costume,48.000000,65.000000,4770,5867,27.985590,1500,1845,0.100629,0.320000,1.875000,0.098890,3.180000,0.622459
SK-A-4674,cohort,Musical Company,48.000000,63.500000,4765,6352,30.267280,1500,2000,0.100735,0.320000,1.875000,0.099117,3.176667,0.574219
SK-A-3276,cohort,Jeremiah Lamenting the Destruction of Jerusalem,46.000000,58.000000,3869,4874,18.857506,1500,1890,0.118894,0.306667,1.796875,0.150338,2.579333,0.607639
SK-A-1935,cohort,Landschap met stenen brug,42.500000,29.500000,6108,4301,26.270508,1500,1056,0.069581,0.283333,1.168750,0.060296,4.072000,0.539000
SK-A-87,pupil,The Night School,42.000000,53.800000,4511,5678,25.613458,1500,1888,0.093106,0.280000,1.640625,0.110567,3.007333,0.608283
SK-A-3477,cohort,Joseph telling his dreams,39.000000,69.000000,8160,10614,86.610240,1500,1951,0.047794,0.260000,1.523438,0.033789,5.440000,0.588640
SK-A-218,pupil,Joost van den Vondel (1587-1679). Dichter,38.000000,42.500000,4751,5146,24.448646,1500,1625,0.079983,0.253333,1.484375,0.099699,3.167333,0.706731
SK-A-3934,validation,Borstbeeld van een lachende jonge man,33.800000,41.200000,7827,9673,75.710571,1500,1854,0.043184,0.225333,1.320312,0.036732,5.218000,0.619438
SK-A-1259,pupil,"Gerard Röver, Merchant and Shipowner in Amsterdam",33.500000,44.500000,5147,6975,35.900325,1500,2033,0.065086,0.223333,1.308594,0.084944,3.431333,0.564898
SK-A-1612,pupil,Badende mannen,33.500000,45.500000,5013,6867,34.424271,1500,2055,0.066826,0.223333,1.308594,0.089544,3.342000,0.558850
SK-C-176,pupil,De spinster,33.500000,41.500000,5163,6422,33.156786,1500,1866,0.064885,0.223333,1.308594,0.084417,3.442000,0.615454
SK-A-3508,pupil,Portret van een jonge man,31.000000,36.500000,4112,4995,20.539440,1500,1822,0.075389,0.206667,1.210938,0.133061,2.741333,0.630317
SK-A-4717,cohort,Tobit and Anna with the Kid,30.000000,39.500000,6166,8229,50.740014,1500,2002,0.048654,0.200000,1.171875,0.059184,4.110667,0.573645
SK-A-4691,cohort,Self Portrait,29.300000,33.200000,7023,8375,58.817625,1500,1789,0.041720,0.195333,1.144531,0.045624,4.682000,0.641944
SK-A-4047,pupil,Woman at a Cradle,28.800000,33.800000,7647,8895,68.020065,1500,1745,0.037662,0.192000,1.125000,0.038481,5.098000,0.658130
SK-C-128,pupil,A Hermit,28.200000,34.400000,5746,7002,40.233492,1500,1828,0.049078,0.188000,1.101562,0.068152,3.830667,0.628248
SK-A-686,pupil,Johan Wittert van der Aa (1604-1670),23.900000,28.000000,4054,4706,19.078124,1500,1741,0.058954,0.159333,0.933594,0.136885,2.702667,0.659642
SK-A-4096,ambiguous,Simson en Delila,23.500000,27.500000,4425,5097,22.554225,1500,1728,0.053107,0.156667,0.917969,0.114923,2.950000,0.664605
SK-C-127,pupil,A Fisherman's Wife,22.800000,32.300000,4306,6105,26.288130,1500,2127,0.052949,0.152000,0.890625,0.121367,2.870667,0.539933
SK-A-88,pupil,Een kluizenaar in gebed,19.000000,25.200000,4320,5602,24.200640,1500,1945,0.043981,0.126667,0.742188,0.120555,2.880000,0.590456
SK-A-89,pupil,Meisje met olielamp voor een venster,17.200000,18.800000,4426,4693,20.771218,1500,1590,0.038861,0.114667,0.671875,0.114822,2.950667,0.722288
SK-A-3982,cohort,Portret van Dr. Ephraïm Bueno,15.000000,19.000000,9812,12146,119.176552,1500,1857,0.015287,0.100000,0.585938,0.023373,6.541333,0.618437
